Name,method,N,N(-),N(+),value(-),value(+),effect,lb,ub,pval,sig_bonf,sig_fdr_bh
M_sp_amp_N2N3_C,dr,2408,2296,112,44.19014012751378,39.25661458275214,-4.933525544761636,-6.7958704195601,-3.061440446130439,2.627332967663391e-27,1,True
M_bp_alpha_abs_mean_N1_C,dr,2466,2348,118,10.62840736657971,9.569346337361676,-1.059061029218036,-1.549227314910989,-0.5866110802174584,1.147268136125122e-11,1,True
M_bp_alpha_abs_mean_N2_C,dr,2468,2349,119,10.69163157128649,9.680017321940841,-1.01161424934565,-1.470926198808632,-0.5057168136106674,0.002089281361595414,0,True
M_bp_theta_abs_mean_N1_C,dr,2466,2348,118,12.20213631062795,11.49614498856618,-0.7059913220617631,-1.164713443310136,-0.2081565541237712,0.006674216296694614,0,False
M_bp_alpha_abs_mean_R_C,dr,2457,2338,119,8.829145606983097,8.001745101082893,-0.8274005059002043,-1.357765392632412,-0.1440156322468544,0.02520236937438126,0,False
M_bp_theta_abs_mean_N2_C,dr,2468,2349,119,13.26779261166342,12.58271638112122,-0.6850762305421956,-1.142016389769184,-0.1880134266806076,0.02527127110363962,0,False
M_bp_alpha_abs_mean_N3_C,dr,2318,2208,110,10.2221004076385,9.451264058601408,-0.7708363490370918,-1.347261746111339,-0.1203028252693673,0.02675072000506902,0,False
