Name,method,N,N(-),N(+),value(-),value(+),effect,lb,ub,pval,sig_bonf,sig_fdr_bh
M_bp_alpha_rel_mean_R_C,dr,2460,2341,119,0.1466484392955583,0.1304068539997083,-0.01624158529584999,-0.02457480205157369,-0.008759776258690732,7.274696398607693e-19,1,1
M_bp_alpha_rel_mean_N2_C,dr,2469,2350,119,0.1268792228453299,0.1108253308265647,-0.01605389201876521,-0.02386896941194602,-0.009548074192985685,4.11915142534172e-17,1,1
M_sp_amp_N2N3_C,dr,2408,2296,112,44.18093811293149,39.33489233499223,-4.846045777939267,-6.895364283434322,-3.081926061394749,4.774597334267374e-13,1,1
M_bp_theta_rel_mean_N2_C,dr,2469,2350,119,0.2159320370348733,0.2002420378929103,-0.01568999914196298,-0.02358577224803484,-0.007783338066260505,4.441324885873904e-12,1,1
M_HB_apnea,dr,2460,2341,119,60.69619665580133,87.73659756208107,27.04040090627974,14.79975704821119,39.54057966968372,7.975958473791413e-12,1,1
M_macro_N1toW,dr,2469,2350,119,0.176400823663032,0.2250517940405718,0.04865097037753979,0.02489531139798708,0.08419236354386297,2.061750577350737e-06,1,1
M_macro_N1toN1,dr,2469,2350,119,0.3825461862074762,0.3288382622882473,-0.05370792391922885,-0.08443146600642662,-0.02206208160571631,2.99957400894774e-05,1,1
M_bp_alpha_rel_mean_N1_C,dr,2469,2350,119,0.1802016896600735,0.1632074846476155,-0.01699420501245799,-0.02905640247846669,-0.007591715278947938,0.0003675560956388028,1,1
M_bp_delta_rel_mean_N1_C,dr,2469,2350,119,0.3756951648855841,0.3907701628742946,0.01507499798871048,0.00655635859075936,0.02587907504494874,0.002134077882784124,0,1
M_macro_SFI,dr,2469,2350,119,6.98839664149785,8.28888333576812,1.300486694270269,0.4175210630177559,2.488792349177138,0.002194249891242582,0,1
M_AHI3,dr,2469,2350,119,17.87925138296701,23.22148173315567,5.342230350188657,1.996877937587227,8.108130311516666,0.004200872417351167,0,1
M_bp_theta_rel_mean_N3_C,dr,2393,2280,113,0.1358848740897518,0.1235744585250268,-0.01231041556472498,-0.01877710050861655,-0.004738560642446205,0.00710151501439742,0,1
M_bp_alpha_rel_mean_N3_C,dr,2393,2280,113,0.05804373823629309,0.0505334268253825,-0.007510311410910596,-0.011835943642536,-0.002259148830043918,0.009682501191194338,0,1
