Name,method,N,N(-),N(+),value(-),value(+),effect,lb,ub,pval,sig_bonf,sig_fdr_bh
M_sp_amp_N2N3_C,dr,2408,2296,112,44.19034745926695,39.32387695979708,-4.86647049946987,-6.729882499518498,-3.065803723320589,1.95561884031923e-24,1,1
M_bp_alpha_rel_mean_N2_C,dr,2469,2350,119,0.126924128760167,0.1106990878507174,-0.0162250409094496,-0.02313730449813265,-0.009379599373045827,5.63149909448834e-09,1,1
M_bp_alpha_rel_mean_R_C,dr,2460,2341,119,0.1466752435545566,0.1314850688408476,-0.01519017471370901,-0.02339844338250312,-0.00755399687789099,4.090216002643291e-07,1,1
M_bp_delta_rel_mean_N1_C,dr,2469,2350,119,0.3756555276958912,0.3913160180145906,0.01566049031869943,0.006514900040244566,0.02681661154138827,5.519009082466723e-06,1,1
M_HB_apnea,dr,2460,2341,119,61.29627938411902,72.90036747974852,11.6040880956295,5.1350845408224,20.1754971253848,8.61862191007566e-06,1,1
M_bp_theta_rel_mean_N2_C,dr,2469,2350,119,0.2159487345498181,0.1992855062169995,-0.01666322833281858,-0.02486208172268876,-0.008845115034595794,1.3447422752937e-05,1,1
M_bp_alpha_rel_mean_N3_C,dr,2393,2280,113,0.05807099973011943,0.05015273695545947,-0.007918262774659957,-0.01182747322973373,-0.003312290638297654,1.614870237112924e-05,1,1
M_bp_alpha_rel_mean_N1_C,dr,2469,2350,119,0.1802374499612392,0.1625437643394151,-0.01769368562182405,-0.02822495333000869,-0.007449906388161082,3.796150210251636e-05,1,1
M_AI,dr,2469,2350,119,23.73762462605249,20.62917050576592,-3.108454120286577,-4.62867555163831,-1.363201443539054,6.280662346125148e-05,1,1
M_macro_N1toW,dr,2469,2350,119,0.1767765585826478,0.2173223279015503,0.0405457693189025,0.01673522482984636,0.07639825293933038,0.0008140827156608552,1,1
M_macro_N1toN1,dr,2469,2350,119,0.3823750427755305,0.3371235034634482,-0.04525153931208226,-0.07456636714741989,-0.01560902203499797,0.001085217964129311,0,1
M_bp_alpha_rel_mean_W_C,dr,2469,2350,119,0.1672508931398623,0.1497899980381815,-0.01746089510168083,-0.02698467022516048,-0.007055877068421846,0.001991828689970532,0,1
M_bp_theta_rel_mean_N3_C,dr,2393,2280,113,0.1359268045882884,0.1229094187976452,-0.0130173857906432,-0.0183682597947504,-0.005360442034003359,0.006494115876202257,0,1
