Name,method,N,N(-),N(+),value(-),value(+),effect,lb,ub,pval,sig_bonf,sig_fdr_bh
M_bp_alpha_abs_mean_N1_C,dr,2466,2348,118,10.62840728541529,9.569303240782112,-1.059104044633173,-1.532727884932084,-0.607905676618716,1.409676999092373e-23,1,True
M_sp_amp_N2N3_C,dr,2408,2296,112,44.19013993045373,39.25125179857439,-4.938888131879345,-6.860878082943495,-2.87563566568448,2.102007225068106e-21,1,True
M_bp_alpha_abs_mean_N2_C,dr,2468,2349,119,10.69163136645597,9.680802138740377,-1.010829227715593,-1.452535954855454,-0.5344233805289142,0.000959014843854571,1,True
M_bp_theta_abs_mean_N2_C,dr,2468,2349,119,13.26779248982329,12.58318321672005,-0.6846092731032396,-1.092367501179197,-0.1581736449273667,0.01819136036804187,0,False
M_bp_alpha_abs_mean_R_C,dr,2457,2338,119,8.829145567704723,8.005568294242892,-0.8235772734618312,-1.331703151473032,-0.18216460288294,0.02320254088049592,0,False
M_bp_alpha_abs_mean_N3_C,dr,2318,2208,110,10.22209805039944,9.451021170628351,-0.7710768797710905,-1.374289581688702,-0.1034633095725824,0.02865738275984203,0,False
