"Name","method","EValPoint","EvalLB"
"M_sp_amp_N2N3_C","dr",1.56263650272987,1
"M_bp_alpha_abs_mean_N1_C","dr",1.5232102345375,1
"M_bp_alpha_abs_mean_N2_C","dr",1.4982905919271,1
"M_bp_theta_abs_mean_N1_C","dr",1.38408767623204,1
"M_bp_alpha_abs_mean_R_C","dr",1.39867823837394,1
"M_bp_theta_abs_mean_N2_C","dr",1.40750213487392,1
"M_bp_alpha_abs_mean_N3_C","dr",1.35398943255897,1
