SID,bp_delta_abs_mean_W_C,bp_delta_rel_mean_W_C,bp_theta_abs_mean_W_C,bp_theta_rel_mean_W_C,bp_alpha_abs_mean_W_C,bp_alpha_rel_mean_W_C,bp_delta_abs_mean_N1_C,bp_delta_rel_mean_N1_C,bp_theta_abs_mean_N1_C,bp_theta_rel_mean_N1_C,bp_alpha_abs_mean_N1_C,bp_alpha_rel_mean_N1_C,bp_delta_abs_mean_N2_C,bp_delta_rel_mean_N2_C,bp_theta_abs_mean_N2_C,bp_theta_rel_mean_N2_C,bp_alpha_abs_mean_N2_C,bp_alpha_rel_mean_N2_C,bp_delta_abs_mean_N3_C,bp_delta_rel_mean_N3_C,bp_delta_abs_slope_N3_C,bp_theta_abs_mean_N3_C,bp_theta_rel_mean_N3_C,bp_alpha_abs_mean_N3_C,bp_alpha_rel_mean_N3_C,bp_delta_abs_mean_R_C,bp_delta_rel_mean_R_C,bp_theta_abs_mean_R_C,bp_theta_rel_mean_R_C,bp_alpha_abs_mean_R_C,bp_alpha_rel_mean_R_C
bi0025,14.074861546080907,0.29857649590896956,10.23199884255125,0.15014303812516044,9.717587027360201,0.12916085966694482,14.757165389933297,0.3674866686969808,13.849592615461857,0.3006238471056118,9.713774014165947,0.11420899441414194,17.797477539067533,0.45101192814408586,13.678279774817764,0.1804530097685352,10.061959977735114,0.07891645585824093,22.12641227875828,0.47705264089527316,0.11948413265685558,14.52379061390818,0.08489986114852956,10.394841839111198,0.033415329427022196,16.032662407658304,0.42108563051348724,12.606833982100872,0.1941150971031598,8.92630977858983,0.08496116317447289
bi0028,18.018900663134957,0.33578333452519105,12.739895662584793,0.10386504529399515,12.98882525961496,0.12185298818026472,12.484953052627958,0.35858031355610515,8.583632740138254,0.1446088687527313,8.461533992452239,0.1441548425874926,15.421884252700492,0.43305181445829705,10.0669402765777,0.1291733036147528,8.762542048162414,0.10023297805316869,18.560509538464576,0.4742646532893463,-0.41280754474490866,10.988954753843378,0.08523523110893345,7.31728670446886,0.03765856393824618,11.966186395068862,0.3748804814976443,7.503999179893031,0.13614963534293412,6.1395066382221035,0.10888764781995768
bi0029,15.756978923384397,0.32844070992213475,10.479017601173252,0.11026187590945812,8.116920518800178,0.06909426627119389,14.787447408505756,0.42302567511938105,10.293268992432928,0.15136257630716932,7.5251124028692535,0.0826352471184772,18.024979389739006,0.4464620863711233,12.220650458170116,0.12120396182546457,9.232743147673142,0.06285850697761002,22.667091866538716,0.45296560322061075,-0.8042264752510704,13.911904980072936,0.061706432615535,9.887034821633533,0.025014349148623927,15.210453877486518,0.43723186800451075,10.77972131083717,0.16098704911517234,7.449057201567513,0.07551840105467598
bi0036,17.884632065904523,0.315396939968362,12.736910352702893,0.10502088732163929,11.838461905885394,0.09090814803579335,14.640057915114244,0.3095320139839858,11.760131335754144,0.1576908637442655,9.545253384776606,0.09387766106056461,18.810270827685798,0.4225136588996882,13.47183706199908,0.1264281135871066,10.218563843396339,0.06301502363425424,20.762734035111514,0.440104800207803,-0.3148178563473844,13.601505976778071,0.08570449452714606,9.082004037033473,0.03066326154298332,15.050900495549973,0.4121986850873714,10.304590991337323,0.142517015366149,8.260248844892725,0.096460531142448
bi0037,18.183039493050515,0.2930117754637671,14.511984182070302,0.13853718138563598,13.431802206154918,0.11305093397032777,18.37946631411148,0.3368585256348475,12.091701925172101,0.09340357886497688,9.247556721843207,0.05100929464740235,18.571090560112236,0.40059293970257,12.726617144967403,0.10962842312033964,8.892242623550327,0.04730037794979868,20.18871888165764,0.40307312660944816,-0.4509932311902509,12.545757107093817,0.07202751277666031,7.470598679263992,0.023111123281860917,20.98903906824381,0.32924236468211254,13.079638041514283,0.06473020914676719,9.260096200702877,0.03229000578988586
bi0039,17.306250627219168,0.22201994803084843,14.49852857623278,0.1168173904213408,18.148865249387377,0.30091274037845894,15.509973634930821,0.30538432538220606,13.918566230975078,0.20629471946925676,14.143322105186593,0.23086110543737814,18.204720452509942,0.3941580165040084,13.31226608768075,0.13530015612160137,11.021227870216553,0.09146658511079477,21.145024321004808,0.38128519775557856,-0.16657776369657457,13.28035958848174,0.06387644187399207,9.078444421415321,0.025286677275443113,13.298001323745671,0.28120105996577155,10.889520891132833,0.16309024538794,11.420041155476662,0.20000336056268359
bi0040,17.093718535567174,0.3353117125953475,11.051435268458967,0.08926256322369266,10.09062325878568,0.0938013224812935,13.72129064527797,0.3494852576270801,10.318444887108852,0.1616316172281645,8.88527079390572,0.12034435580371568,17.435622251843622,0.44879227790807646,11.726963884136275,0.12540488699438954,9.534801741820443,0.08155918598463792,20.832757101725605,0.46891708373188634,13.434632775007255,12.935262907550388,0.08635685254557372,9.138620612446744,0.038260087535965846,13.865700592599664,0.2932889833732918,7.9998306979667,0.08131054937870683,6.242875892657942,0.060678504511941324
bi0041,16.638678699069352,0.37583656832293716,11.544963138313097,0.12593074728941495,9.896843015207091,0.09560969418001,13.797838058626262,0.4020814064798257,11.183364186776748,0.2223641891152048,7.572181959047942,0.09935300227083106,18.513762791772255,0.5109997865607622,13.120155283871103,0.14997798179593158,9.492569211573711,0.06603599373168118,22.070685681599755,0.5075260374982387,-0.2521363908705284,14.812491988105362,0.09759773693017043,10.682961477699992,0.03818633799832068,14.703568755319345,0.4388391731206517,10.942015953766617,0.19376685780965075,6.123093558560717,0.06499006092818697
bi0043,19.446358353875052,0.30428764485034,15.718349163224529,0.14760697482528815,14.25553234175195,0.12612890654012596,13.935275931941895,0.2833566028020682,13.195544094118725,0.24318115874709195,11.565939061125682,0.17061176705289216,17.986359647982237,0.38977964952649524,14.356970811052488,0.17772408964015882,11.772177529115107,0.10049457933887479,21.520214823323506,0.38532643953576706,-0.34790391077250576,15.22722297807062,0.09453546179012493,12.009197343430223,0.04637845091994216,13.445913524589294,0.287231033485748,12.53504516089643,0.24036127881620323,10.773964637381102,0.16097629215627926
bi0044,20.37154033708947,0.3076638400231783,14.634690794174215,0.09335893586792518,12.248600223431213,0.06225946419977117,15.013606662242331,0.3307617020070926,13.148641097288843,0.23154929936858568,9.337798070795412,0.09638499254840147,19.315355004443223,0.4310091102357562,12.821651904923714,0.10554094077014223,8.115034553534278,0.036966567233548735,22.344442039969735,0.38914221331391524,0.22001344407154697,13.239776999980378,0.05036646850733954,7.794930560125089,0.015486389032169328,15.654093203438535,0.4282390694998984,10.829343045941549,0.1459994229395986,6.199500586952137,0.05059256749389689
